"rules","support","confidence","coverage","lift","count"
"{item15,item30,item49} => {item56}",0.0101,0.961904761904762,0.0105,16.5845648604269,101
"{item15,item49} => {item56}",0.0101,0.863247863247863,0.0117,14.8835838491011,101
"{item30,item49,item56} => {item15}",0.0101,0.961904761904762,0.0105,9.24019944192855,101
"{item49,item56} => {item15}",0.0101,0.952830188679245,0.0106,9.15302774908017,101
"{item30,item56,item77} => {item15}",0.01,0.819672131147541,0.0122,7.87389174973623,100
"{item55} => {item34}",0.01,0.854700854700855,0.0117,7.69307700000769,100
"{item30,item49,item84} => {item77}",0.0101,0.808,0.0125,4.65169833045481,101
"{item30,item49,item56} => {item84}",0.01,0.952380952380952,0.0105,4.02698077116682,100
"{item15,item30,item49} => {item84}",0.01,0.952380952380952,0.0105,4.02698077116682,100
"{item49,item56} => {item84}",0.01,0.943396226415094,0.0106,3.98899038653317,100
"{item10,item22,item41} => {item3}",0.0118,0.808219178082192,0.0146,3.78911944717389,118
"{item15,item49} => {item84}",0.0102,0.871794871794872,0.0117,3.68623624437578,102
"{item15,item30,item56} => {item84}",0.0106,0.809160305343511,0.0131,3.42139663993028,106
"{item20,item25,item41} => {item92}",0.01,0.806451612903226,0.0124,3.06635594259782,100
"{item15,item49,item56} => {item30}",0.0101,1,0.0101,3.0229746070133,101
"{item49,item56,item84} => {item30}",0.01,1,0.01,3.0229746070133,100
"{item49,item56} => {item30}",0.0105,0.990566037735849,0.0106,2.99445597864525,105
"{item15,item49,item84} => {item30}",0.01,0.980392156862745,0.0102,2.96370059511108,100
"{item15,item56,item77} => {item30}",0.01,0.952380952380952,0.0105,2.87902343525076,100
"{item22,item3,item41} => {item10}",0.0118,0.855072463768116,0.0138,2.81737220351933,118
"{item15,item56,item84} => {item30}",0.0106,0.929824561403509,0.0114,2.81083603810009,106
"{item49,item77,item84} => {item30}",0.0101,0.926605504587156,0.0109,2.80110491108572,101
"{item15,item49} => {item30}",0.0105,0.897435897435897,0.0117,2.71292592937091,105
"{item16,item61,item77} => {item5}",0.0108,0.923076923076923,0.0117,2.49547694803169,108
"{item16,item34,item77} => {item5}",0.0102,0.902654867256637,0.0113,2.44026728103984,102
"{item13,item82,item99} => {item5}",0.0134,0.87012987012987,0.0154,2.35233811876148,134
"{item25,item34,item77} => {item5}",0.0103,0.858333333333333,0.012,2.32044696764891,103
"{item82,item99} => {item5}",0.015,0.833333333333333,0.018,2.25286113363972,150
"{item16,item25,item77} => {item5}",0.0104,0.806201550387597,0.0129,2.17951216649796,104
"{item20,item23} => {item13}",0.0114,0.912,0.0125,1.84316895715441,114
"{item5,item82,item99} => {item13}",0.0134,0.893333333333333,0.015,1.80544327674481,134
"{item3,item84,item95} => {item13}",0.0108,0.878048780487805,0.0123,1.77455291125264,108
"{item23} => {item13}",0.0292,0.861356932153392,0.0339,1.74081837541106,292
"{item82,item99} => {item13}",0.0154,0.855555555555556,0.018,1.72909368543968,154
"{item10,item44} => {item13}",0.0101,0.848739495798319,0.0119,1.71531830193678,101
"{item83} => {item13}",0.0119,0.843971631205674,0.0141,1.70568235894437,119
"{item23,item5} => {item13}",0.0105,0.84,0.0125,1.69765561843169,105
"{item30,item95,item96} => {item13}",0.0118,0.802721088435374,0.0147,1.62231424501895,118
